  I  J
------
  1  4
  4  4
  7  4
 10  4
 13  4
 16  4
 19  4
 22  4
 25  4
 28  4
 31  4
 34  4
 37  4
 40  4
 43  4
 46  4
 49  4
 52  4
 55  4
 58  4
 61  4
 64  4
 67  4
 70  4
 73  4
 76  4
 79  4
 82  4
 85  4
 88  4
 91  4
 94  4
  1  7
  4  7
  7  7
 10  7
 13  7
 16  7
 19  7
 22  7
 25  7
 28  7
 31  7
 34  7
 37  7
 40  7
 43  7
 46  7
 49  7
 52  7
 55  7
 58  7
 61  7
 64  7
 67  7
 70  7
 73  7
 76  7
 79  7
 82  7
 85  7
 88  7
 91  7
 94  7
  1 10
  4 10
  7 10
 10 10
 13 10
 16 10
 19 10
 22 10
 25 10
 28 10
 31 10
 34 10
 37 10
 40 10
 43 10
 46 10
 49 10
 52 10
 55 10
 58 10
 61 10
 64 10
 67 10
 70 10
 73 10
 76 10
 79 10
 82 10
 85 10
 88 10
 91 10
 94 10
  1 13
  4 13
  7 13
 10 13
 13 13
 16 13
 19 13
 22 13
 25 13
 28 13
 31 13
 34 13
 37 13
 40 13
 43 13
 46 13
 49 13
 52 13
 55 13
 58 13
 61 13
 64 13
 67 13
 70 13
 73 13
 76 13
 79 13
 82 13
 85 13
 88 13
 91 13
 94 13
  1 16
  4 16
  7 16
 10 16
 13 16
 16 16
 19 16
 22 16
 25 16
 28 16
 31 16
 34 16
 37 16
 40 16
 43 16
 46 16
 49 16
 52 16
 55 16
 58 16
 61 16
 64 16
 67 16
 70 16
 73 16
 76 16
 79 16
 82 16
 85 16
 88 16
 91 16
 94 16
  1 19
  4 19
  7 19
 10 19
 13 19
 16 19
 19 19
 22 19
 25 19
 28 19
 31 19
 34 19
 37 19
 40 19
 43 19
 46 19
 49 19
 52 19
 55 19
 58 19
 61 19
 64 19
 67 19
 70 19
 73 19
 76 19
 79 19
 82 19
 85 19
 88 19
 91 19
 94 19
  1 22
  4 22
  7 22
 10 22
 13 22
 16 22
 19 22
 22 22
 25 22
 28 22
 31 22
 34 22
 37 22
 40 22
 43 22
 46 22
 49 22
 52 22
 55 22
 58 22
 61 22
 64 22
 67 22
 70 22
 73 22
 76 22
 79 22
 82 22
 85 22
 88 22
 91 22
 94 22
  1 25
  4 25
  7 25
 10 25
 13 25
 16 25
 19 25
 22 25
 25 25
 28 25
 31 25
 34 25
 37 25
 40 25
 43 25
 46 25
 49 25
 52 25
 55 25
 58 25
 61 25
 64 25
 67 25
 70 25
 73 25
 76 25
 79 25
 82 25
 85 25
 88 25
 91 25
 94 25
  1 28
  4 28
  7 28
 10 28
 13 28
 16 28
 19 28
 22 28
 25 28
 28 28
 31 28
 34 28
 37 28
 40 28
 43 28
 46 28
 49 28
 52 28
 55 28
 58 28
 61 28
 64 28
 67 28
 70 28
 73 28
 76 28
 79 28
 82 28
 85 28
 88 28
 91 28
 94 28
  1 31
  4 31
  7 31
 10 31
 13 31
 16 31
 19 31
 22 31
 25 31
 28 31
 31 31
 34 31
 37 31
 40 31
 43 31
 46 31
 49 31
 52 31
 55 31
 58 31
 61 31
 64 31
 67 31
 70 31
 73 31
 76 31
 79 31
 82 31
 85 31
 88 31
 91 31
 94 31
  1 34
  4 34
  7 34
 10 34
 13 34
 16 34
 19 34
 22 34
 25 34
 28 34
 31 34
 34 34
 37 34
 40 34
 43 34
 46 34
 49 34
 52 34
 55 34
 58 34
 61 34
 64 34
 67 34
 70 34
 73 34
 76 34
 79 34
 82 34
 85 34
 88 34
 91 34
 94 34
  1 37
  4 37
  7 37
 10 37
 13 37
 16 37
 19 37
 22 37
 25 37
 28 37
 31 37
 34 37
 37 37
 40 37
 43 37
 46 37
 49 37
 52 37
 55 37
 58 37
 61 37
 64 37
 67 37
 70 37
 73 37
 76 37
 79 37
 82 37
 85 37
 88 37
 91 37
 94 37
  1 40
  4 40
  7 40
 10 40
 13 40
 16 40
 19 40
 22 40
 25 40
 28 40
 31 40
 34 40
 37 40
 40 40
 43 40
 46 40
 49 40
 52 40
 55 40
 58 40
 61 40
 64 40
 67 40
 70 40
 73 40
 76 40
 79 40
 82 40
 85 40
 88 40
 91 40
 94 40
  1 43
  4 43
  7 43
 10 43
 13 43
 16 43
 19 43
 22 43
 25 43
 28 43
 31 43
 34 43
 37 43
 40 43
 43 43
 46 43
 49 43
 52 43
 55 43
 58 43
 61 43
 64 43
 67 43
 70 43
 73 43
 76 43
 79 43
 82 43
 85 43
 88 43
 91 43
 94 43
